price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 2.25Cr ,"Imadol, Lalitpur",2.3 aana,2.5,6,4,Semi-Furnished,West,12 Feet 
Rs. 2.4Cr ,"Mulpani, Kathmandu",2.3 aana,2.5,3,3,Semi-Furnished,West,20 Feet 
Rs. 2.3Cr ,"Imadol, Lalitpur",2.3 aana,2.5,4,3,Un-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Mid Baneshwor, Kathmandu",2.3 aana,2.5,5,3,Un-Furnished,East,10 Feet 
Rs. 2.35Cr ,"Tikathali, Lalitpur",2.3 aana,3,6,4,Semi-Furnished,West,13 Feet 
Price on call,"Thankot, Kathmandu",2.3 aana,2.5,6,3,Semi-Furnished,South-West,13 Feet 
Rs. 2.95Cr ,"Satdobato, Lalitpur",3.1 aana,2.5,4,3,Semi-Furnished,North-East,13 Feet 
Rs. 3.9Cr ,"Ekantakuna, Lalitpur",3.1 aana,3.5,6,3,Semi-Furnished,West,19 Feet 
Price on call,"Thankot, Kathmandu",3.1 aana,2.5,6,2,Un-Furnished,South-West,13 Feet 
Rs. 2.8Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,4,3,Semi-Furnished,North-West,16 Feet 
Rs. 12Cr ,"Narayanthan , Kathmandu",3.2 aana,2.5,5,3,Semi-Furnished,South,20 Feet 
Rs. 3.8Cr ,"Kapan, Kathmandu",4.1 aana,2.5,6,2,Semi-Furnished,West,14 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",4.1 aana,2.5,6,4,Semi-Furnished,East,12 Feet 
Rs. 2.75Cr ,"Imadol, Lalitpur",3.2 aana,2.5,7,5,Semi-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Imadol, Lalitpur",2.3 aana,2.5,6,4,Semi-Furnished,East,12 Feet 
Rs. 2.1Cr ,"Baluwakhani, Kathmandu",2.3 aana,1,3,1,Un-Furnished,East,20 Feet 
Rs. 3.99Cr ,"Basundhara, Kathmandu",2.3 aana,3,9,4,Un-Furnished,South,20 Feet 
Rs. 3Cr ,"Basundhara, Kathmandu",2.3 aana,3,9,4,Un-Furnished,North,20 Feet 
Rs. 1Cr ,"Kavresthali, Kathmandu",2.5 aana,3,7,4,Un-Furnished,East,20 Feet 
Rs. 2.1Cr ,"Tokha, Kathmandu",3.5 aana,3,6,2,Un-Furnished,South,20 Feet 
Price on call,"Budhanilkantha, Kathmandu",3.5 aana,3,6,2,Un-Furnished,East,16 Feet 
Rs. 1.2Cr ,"Baseni, Chitwan",3.5 aana,2,2,2,Un-Furnished,West,6 Meter
Rs. 3.4Cr ,"Mandikhatar, Kathmandu",3.5 aana,2.5,4,4,Full-Furnished,South,13 Feet 
Rs. 2.85Cr ,"Rajkulo, Lalitpur",3.2 aana,3,5,5,Semi-Furnished,West,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.1 aana,2.5,7,5,Semi-Furnished,North,13 Feet 
Rs. 8.25Cr ,"Budhanilkantha, Kathmandu",10.3 aana,2.5,5,4,Semi-Furnished,South-East,20 Feet 
Rs. 1.85Cr ,"Satungal, Kathmandu",3.1 aana,2.5,3,2,Un-Furnished,South-East,13 Feet 
Rs. 6.25Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,4,Semi-Furnished,West,12 Feet 
Rs. 6.24Cr ,"Chobhar, Kathmandu",3.1 aana,2.5,4,4,Full-Furnished,South-East,8 Meter
Rs. 3.6Cr ,"Budhanilkantha, Kathmandu",3.1 aana,2.5,5,5,Semi-Furnished,East,15 Feet 
Rs. 3.1Cr ,"Setipakha, Lalitpur",3.1 aana,3,6,4,Semi-Furnished,North,12 Feet 
Rs. 2.2Cr ,"Shital Height, Lalitpur",3.1 aana,2.5,7,3,Semi-Furnished,South-West,13 Feet 
Rs. 3Cr ,"Minbhawan, Kathmandu",3.1 aana,2.5,6,2,Un-Furnished,South,20 Feet 
Price on call,"Tikathali, Lalitpur",5.2 aana,2.5,5,4,Full-Furnished,South-West,20 Feet 
Rs. 3.6Cr ,"Kalanki, Kathmandu",4.2 aana,2.5,5,3,Semi-Furnished,West,10 Feet 
Rs. 1.95Cr ,"Katunje, Bhaktapur",4.2 aana,2.5,5,3,Un-Furnished,West,11 Feet 
Price on call,"Maitidevi, Kathmandu",3.2 aana,5,6,7,Semi-Furnished,North-West,10 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,3.5,6,4,Semi-Furnished,North,20 Feet 
Rs. 2.2Cr ,"Budhanilkantha, Kathmandu",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 5.5Cr ,"Hattigaunda, Kathmandu",6.1 aana,2.5,5,5,Full-Furnished,West,20 Feet 
Rs. 4.5Cr ,"Thaiba, Lalitpur",5.1 aana,2.5,4,4,Un-Furnished,South-East,22 Feet 
Rs. 4.15Cr ,"Imadol, Lalitpur",5.1 aana,3,5,5,Un-Furnished,South,13 Feet 
Rs. 3.1Cr ,"Imadol, Lalitpur",5.1 aana,3,5,5,Full-Furnished,North,13 Feet 
Rs. 2.4Cr ,"Katyani Chowk, Kathmandu",2.1 aana,3,5,3,Un-Furnished,West,13 Feet 
Rs. 4.75Cr ,"Sukedhara, Kathmandu",2.1 aana,1,7,3,Un-Furnished,South,16 Feet 
Rs. 3.5Cr ,"Nakhipot, Lalitpur",2.1 aana,3,7,3,Un-Furnished,South,13 Feet 
Rs. 3.2Cr ,"Bansbari, Kathmandu",2.1 aana,3,7,3,Un-Furnished,North,13 Feet 
Rs. 4.75Cr ,"Maharajgunj, Kathmandu",4.2 aana,2.5,4,2,Un-Furnished,South-East,13 Feet 
Rs. 6.9Cr ,"Ganesh Chowk, Kathmandu",4.2 aana,2.5,6,3,Full-Furnished,South,16 Feet 
Rs. 1.7Cr ,"Bhutkhel , Kathmandu",4.2 aana,2.5,7,3,Un-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Grande Hospital, Kathmandu",3.5 aana,2.5,6,3,Un-Furnished,South,13 Feet 
Rs. 2.55Cr ,"Grande Hospital, Kathmandu",3.5 aana,3,6,3,Un-Furnished,East,13 Feet 
Rs. 2.5Cr ,"Grande Hospital, Kathmandu",3.1 aana,3,7,3,Un-Furnished,East,16 Feet 
Rs. 1.86Cr ,"Kavresthali, Kathmandu",3.3 aana,3,6,2,Un-Furnished,South-West,16 Feet 
Rs. 4.75Cr ,"Sukedhara, Kathmandu",3.3 aana,1,7,3,Un-Furnished,South,16 Feet 
Rs. 2.65Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,5,Semi-Furnished,South,13 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,North-West,12 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Un-Furnished,South,13 Feet 
Rs. 2.3Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Un-Furnished,North,12 Feet 
Rs. 3.5Cr ,"Nakhipot, Lalitpur",3.2 aana,3,7,4,Un-Furnished,South,12 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 3.5Cr ,"Imadol, Lalitpur",3.2 aana,2.5,7,3,Semi-Furnished,West,13 Feet 
Rs. 2.3Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,5,4,Full-Furnished,North,12 Feet 
Rs. 3.45Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,5,Semi-Furnished,North,13 Feet 
Rs. 3.5Cr ,"Imadol, Lalitpur",3.1 aana,2.5,7,5,Semi-Furnished,North,13 Feet 
Rs. 3.8Cr ,"Imadol, Lalitpur",3.3 aana,2.5,6,4,Un-Furnished,East,13 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",3.3 aana,2.5,6,4,Un-Furnished,West,13 Feet 
Rs. 2.8Cr ,"Imadol, Lalitpur",3.3 aana,2.5,6,4,Un-Furnished,South,20 Feet 
Rs. 4.21Cr ,"Sukedhara, Kathmandu",3.3 aana,3.5,4,4,Semi-Furnished,West,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.1 aana,3,6,6,Semi-Furnished,North,13 Feet 
Rs. 6.3Cr ,"Hepali Height, Kathmandu",5.3 aana,2.5,4,4,Semi-Furnished,South-East,15 Feet 
Rs. 2.25Cr ,"Satungal, Kathmandu",3.2 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 2.6Cr ,"Dadhikot, Bhaktapur",3.2 aana,2,5,3,Semi-Furnished,North-East,13 Feet 
Rs. 2.85Cr ,"Chapali, Kathmandu",3.2 aana,2.5,6,4,Un-Furnished,North-East,13 Feet 
Rs. 4.75Cr ,"Maharajgunj, Kathmandu",4.5 aana,2.5,4,2,Un-Furnished,South-East,13 Feet 
Rs. 6.9Cr ,"Ganesh Chowk, Kathmandu",4.5 aana,2.5,6,3,Full-Furnished,South,16 Feet 
Rs. 1.7Cr ,"Bhutkhel , Kathmandu",4.5 aana,2.5,7,3,Un-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Grande Hospital, Kathmandu",3.5 aana,2.5,6,2,Un-Furnished,South,13 Feet 
Rs. 2.55Cr ,"Grande Hospital, Kathmandu",3.5 aana,3,6,3,Un-Furnished,East,13 Feet 
Rs. 2.5Cr ,"Grande Hospital, Kathmandu",3.1 aana,3,7,3,Un-Furnished,East,16 Feet 
Rs. 1.86Cr ,"Kavresthali, Kathmandu",3.3 aana,3,6,2,Un-Furnished,South-West,16 Feet 
Rs. 4.25Cr ,"Amarsingh Chowk, Kaski",8.2 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 1.99Cr ,"Lamatar, Lalitpur",8.2 aana,2.5,3,3,Semi-Furnished,South,12 Feet 
Rs. 3.2Cr ,"Dhapakhel, Lalitpur",8.2 aana,2.5,4,3,Un-Furnished,South-West,13 Feet 
Rs. 3.5Cr ,"Bhaisepati, Lalitpur",8.2 aana,2.5,5,4,Semi-Furnished,North,13 Feet 
Rs. 7.5Cr ,"Kadaghari, Kathmandu",8.2 aana,4.5,10,6,Full-Furnished,South,20 Feet 
Rs. 3.1Cr,"Tokha Saraswoti, Kathmandu",8.2 aana,2.5,4,4,Semi-Furnished,South,12 Feet 
Rs. 1.8Cr ,"Kapan, Kathmandu",8.2 aana,2.5,6,3,Un-Furnished,South-East,12 Feet 
Rs. 3.8Cr ,"Lasuntar, Kathmandu",8.2 aana,2.5,6,2,Un-Furnished,South,12 Feet 
Rs. 3Cr ,"Besigaun, Kathmandu",4.2 aana,2.5,7,5,Semi-Furnished,North-East,13 Feet 
Rs. 6.5Cr ,"Bhaisepati, Lalitpur",7.1 aana,2.5,4,6,Semi-Furnished,South-East,13 Feet 
Rs. 12Cr ,"Chhauni, Kathmandu",7.1 aana,7,8,6,Un-Furnished,East,40 Feet 
Rs. 6.3Cr ,"Golfutar, Kathmandu",7.1 aana,3,8,7,Un-Furnished,West,13 Feet 
Rs. 3.35Cr ,"Ochu Height, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,South,12 Feet 
Rs. 3.35Cr ,"Ochu Height, Lalitpur",3.1 aana,3,5,4,Full-Furnished,South,13 Feet 
Price on call,"Budhanilkantha, Kathmandu",4.2 aana,2.5,1,4,Full-Furnished,South,13 Feet 
Price on call,"Deuwa chowk, Kathmandu",4.2 aana,2.5,1,4,Un-Furnished,South,26 Feet 
Rs. 1.2Cr ,"Naikap, Kathmandu",4.2 aana,3,4,2,Un-Furnished,East,10 Feet 
Rs. 3.2Cr ,"Chhauni, Kathmandu",3.2 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 8.7Cr ,"Dallu, Kathmandu",8.2 aana,4,10,9,Semi-Furnished,East,16 Feet 
Rs. 1.9Cr ,"Goldhunga, Kathmandu",8.2 aana,3.5,7,6,Semi-Furnished,West,9 Feet 
Rs. 3.55Cr ,"Imadol, Lalitpur",3.1 aana,3.5,5,5,Full-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Imadol, Lalitpur",2.3 aana,2.5,4,4,Semi-Furnished,East,12 Feet 
Rs. 3.8Cr ,"Ganesh Chowk, Kathmandu",4.2 aana,2.5,4,4,Semi-Furnished,East,14 Feet 
Rs. 2.9Cr ,"Grande Hospital, Kathmandu",3.2 aana,2.5,9,3,Full-Furnished,East,11 Feet 
Rs. 2.7Cr ,"Gothatar, Kathmandu",2.3 aana,3.5,3,3,Full-Furnished,West,32 Feet 
Rs. 2.55Cr ,"Bhaisepati, Lalitpur",4.2 aana,3,5,3,Full-Furnished,South,13 Feet 
Rs. 6Cr ,"Buddhanagar, Kathmandu",9.1 aana,3.5,4,4,Semi-Furnished,South,11 Feet 
Rs. 2.8Cr ,"Grande Villa, Kathmandu",2.2 aana,2.5,3,2,Full-Furnished,West,15 Feet 
Rs. 2.55Cr ,"Tikathali, Lalitpur",2.1 aana,3,7,5,Full-Furnished,West,22 Feet 
Rs. 2.2Cr ,"Shital Height, Lalitpur",2.3 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 3.35Cr ,"Bhangal , Kathmandu",2.3 aana,2,6,4,Full-Furnished,West,12 Feet 
Rs. 3.1Cr ,"Bhangal , Kathmandu",2.3 aana,2.5,6,5,Semi-Furnished,South,13 Feet 
Rs. 5Cr ,"Sukedhara, Kathmandu",5.1 aana,2.5,5,4,Semi-Furnished,South-East,21 Feet 
Rs. 4.95Cr ,"Dhapasi, Kathmandu",5.1 aana,2.5,6,5,Un-Furnished,East,13 Feet 
Rs. 2.65Cr ,"Ochu Height, Lalitpur",5.1 aana,2.5,5,4,Semi-Furnished,North-East,13 Feet 
Rs. 5.35Cr ,"Tokha Chandeshwori, Kathmandu",5.2 aana,2.5,5,5,Semi-Furnished,South-East,16 Feet 
Rs. 3.15Cr ,"Ochu Height, Lalitpur",5.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 5.75Cr ,"Imadol, Lalitpur",5.2 aana,3,5,4,Semi-Furnished,North-West,13 Feet 
Rs. 4Cr ,"Imadol, Lalitpur",5.2 aana,3,5,4,Semi-Furnished,South,20 Feet 
Rs. 2Cr ,"Dhalpa road, Kathmandu",5.2 aana,3,3,2,Semi-Furnished,North-East,13 Feet 
Rs. 3.3Cr ,"Imadol, Lalitpur",3.3 aana,3.5,9,5,Semi-Furnished,West,20 Feet 
Rs. 4.1Cr ,"Chabahil, Kathmandu",4.3 aana,3,11,8,Un-Furnished,South,10 Feet 
Rs. 2.5Cr ,"Bojepokhari, Lalitpur",4.3 aana,3,5,4,Semi-Furnished,East,13 Feet 
Rs. 4.15Cr ,"Ochu Height, Lalitpur",4.3 aana,3,6,5,Full-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",4.3 aana,3,5,4,Semi-Furnished,North,13 Feet 
Rs. 3.25Cr ,"Nakhipot, Lalitpur",4.3 aana,2.5,4,4,Full-Furnished,East,20 Feet 
Rs. 3.8Cr ,"Kapan, Kathmandu",4.1 aana,2.5,7,5,Semi-Furnished,South,12 Feet 
Rs. 5.5Cr ,"Chundevi, Kathmandu",4.3 aana,2.5,4,4,Un-Furnished,East,13 Feet 
Rs. 4Cr ,"Lubhu, Lalitpur",4.3 aana,2.5,5,2,Un-Furnished,South-West,13 Feet 
Rs. 4.25Cr ,"Thapagaun, Kathmandu",4.1 aana,3,14,4,Un-Furnished,West,23 Feet 
Rs. 2.25Cr ,"Nakhipot, Lalitpur",3.2 aana,2.5,4,4,Semi-Furnished,East,20 Feet 
Rs. 2.3Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,South,13 Feet 
Rs. 4.65Cr ,"Kalanki, Kathmandu",6.3 aana,2.5,6,5,Semi-Furnished,South-East,13 Feet 
Rs. 6.75Cr ,"Dhumbarahi, Kathmandu",7.3 aana,3,8,4,Un-Furnished,South,16 Feet 
Rs. 2.55Cr ,"Mandikhatar, Kathmandu",3.1 aana,2.5,6,2,Un-Furnished,South,16 Feet 
Rs. 2.2Cr ,"Baluwakhani, Kathmandu",3.2 aana,3,7,2,Un-Furnished,South,16 Feet 
Rs. 3.2Cr ,"Mandikhatar, Kathmandu",3.2 aana,3,6,2,Un-Furnished,North,16 Feet 
Rs. 3.25Cr ,"Mandikhatar, Kathmandu",3.2 aana,3,6,2,Un-Furnished,West,16 Feet 
Rs. 9.99Cr ,"Baluwatar, Kathmandu",3.2 aana,3,6,2,Un-Furnished,East,16 Feet 
Rs. 4.5Cr ,"Washigaun, Kathmandu",4.2 aana,3,6,2,Un-Furnished,North-East,13 Feet 
Rs. 3.5Cr ,"Bhangal , Kathmandu",3.2 aana,3,7,2,Un-Furnished,South,16 Feet 
Rs. 2.55Cr ,"Maharajgunj, Kathmandu",3.1 aana,3,6,2,Full-Furnished,South,16 Feet 
Rs. 4.99Cr ,"New Baneshwor, Kathmandu",3.1 aana,4,10,6,Un-Furnished,East,16 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.1 aana,3.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 6Cr ,"Bansbari, Kathmandu",7.2 aana,2.5,5,6,Un-Furnished,West,16 Feet 
Rs. 2.55Cr ,"Tikathali, Lalitpur",3.1 aana,2.5,4,3,Un-Furnished,East,13 Feet 
Rs. 5.3Cr ,"Budhanilkantha, Kathmandu",6.2 aana,2.5,6,5,Un-Furnished,North-West,14 Feet 
Rs. 2.65Cr ,"Jorpati, Kathmandu",6.2 aana,3.5,7,4,Semi-Furnished,North,13 Feet 
Rs. 3.75Cr ,"Imadol, Lalitpur",4.1 aana,3.5,6,5,Semi-Furnished,South,16 Feet 
Rs. 4.1Cr ,"Thapagaun, Kathmandu",4.1 aana,3,10,4,Un-Furnished,East,13 Feet 
Rs. 4.75Cr ,"Hattigaunda, Kathmandu",5.1 aana,3,4,4,Semi-Furnished,South-East,14 Feet 
Rs. 4.15Cr ,"Imadol, Lalitpur",5.1 aana,3,6,3,Semi-Furnished,South,13 Feet 
Rs. 4.65Cr ,"Imadol, Lalitpur",4.1 aana,3,7,3,Semi-Furnished,South,13 Feet 
Price on call,"Imadol, Lalitpur",3.1 aana,3.5,10,6,Semi-Furnished,North,13 Feet 
Rs. 5Cr ,"Balambu, Kathmandu",3.1 aana,2.5,7,3,Semi-Furnished,West,16 Feet 
Rs. 3.75Cr ,"Bhaisepati, Lalitpur",3.1 aana,2.5,4,4,Semi-Furnished,West,13 Feet 
Rs. 3.9Cr ,"Hattigaunda, Kathmandu",4.1 aana,2.5,6,5,Un-Furnished,West,13 Feet 
Rs. 7Cr ,"Koteshwor, Kathmandu",4.1 aana,4,15,5,Semi-Furnished,East,22 Feet 
Rs. 2.99Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Full-Furnished,East,13 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",3.1 aana,2.5,9,1,Semi-Furnished,East,16 Feet 
Rs. 3.25Cr ,"Koteshwor, Kathmandu",3.2 aana,3,9,1,Un-Furnished,South-West,12 Feet 
Rs. 2.5Cr ,"Naya Basti, Kathmandu",4.2 aana,3.5,6,3,Un-Furnished,East,12 Feet 
Rs. 2.05Cr ,"Naya Basti, Kathmandu",3.2 aana,3,5,3,Un-Furnished,East,12 Feet 
Rs. 2.6Cr ,"Naya Basti, Kathmandu",3.2 aana,4.5,15,4,Un-Furnished,East,14 Feet 
Rs. 6.99Cr ,"Buddhanagar, Kathmandu",5.2 aana,2.5,20,6,Un-Furnished,East,26 Feet 
Rs. 2.8Cr ,"Shankhamul, Kathmandu",5.2 aana,3,18,3,Un-Furnished,East,16 Feet 
Rs. 2.8Cr ,"Shantinagar, Kathmandu",5.2 aana,3,5,4,Un-Furnished,South,16 Feet 
Rs. 3.9Cr ,"Bhaisepati, Lalitpur",5.2 aana,2.5,7,4,Semi-Furnished,North-East,13 Feet 
Rs. 4.25Cr ,"Setipakha, Lalitpur",4.1 aana,3.5,5,4,Full-Furnished,South-East,13 Feet 
Rs. 2.75Cr ,"Harisiddhi, Lalitpur",4.1 aana,2.5,5,4,Semi-Furnished,North,20 Feet 
Rs. 4Cr ,"Swoyambhu, Kathmandu",5.2 aana,2.5,5,5,Full-Furnished,North-East,12 Feet 
Rs. 3.25Cr ,"Sitapaila, Kathmandu",5.2 aana,2.5,6,2,Semi-Furnished,East,13 Feet 
Rs. 3.4Cr ,"Kapan, Kathmandu",5.2 aana,2.5,6,3,Semi-Furnished,South,16 Feet 
Rs. 4.4Cr ,"Shankhamul, Kathmandu",3.2 aana,4.5,10,5,Semi-Furnished,South,16 Feet 
Rs. 1.6Cr ,"Kapan, Kathmandu",3.2 aana,1.5,2,1,Un-Furnished,West,13 Feet 
Rs. 1.55Cr ,"Harisiddhi, Lalitpur",3.2 aana,2.5,5,2,Un-Furnished,East,12 Feet 
Rs. 6Cr ,"Hepali Height, Kathmandu",3.2 aana,2,4,4,Semi-Furnished,South,13 Feet 
Rs. 5Cr ,"New Baneshwor, Kathmandu",5.1 aana,2.5,5,4,Semi-Furnished,East,19 Feet 
Rs. 3.35Cr ,"Bhaisepati, Lalitpur",4.3 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 3.9Cr ,"Hattigaunda, Kathmandu",4.1 aana,2,5,5,Un-Furnished,East,13 Feet 
Rs. 1.62Cr,"Kalanki, Kathmandu",4.1 aana,3,6,2,Un-Furnished,East,13 Feet 
Rs. 1.65Cr ,"Lubhu, Lalitpur",4.1 aana,2,4,2,Semi-Furnished,North-East,13 Feet 
Rs. 4.8Cr ,"Bhaktapur, Bhaktapur",3.3 aana,2.5,4,2,Full-Furnished,South-East,18 Feet 
Rs. 1.65Cr ,"Tikathali, Kathmandu",3.2 aana,1,2,1,Semi-Furnished,North-West,13 Feet 
Rs. 3.2Cr ,"Ekantakuna, Lalitpur",3.2 aana,3.5,6,4,Un-Furnished,East,14 Feet 
Rs. 4.5Cr ,"Ganesh Chowk, Kathmandu",5.1 aana,3,6,2,Un-Furnished,East,13 Feet 
Rs. 3.5Cr ,"Baluwakhani, Kathmandu",3.2 aana,3,7,3,Un-Furnished,East,13 Feet 
Rs. 2.1Cr ,"Baluwakhani, Kathmandu",3.1 aana,3,6,3,Un-Furnished,South,13 Feet 
Rs. 2.85Cr ,"Bhangal , Kathmandu",2.5 aana,2,4,3,Un-Furnished,North,13 Feet 
Rs. 25.6Cr ,"Baluwatar, Kathmandu",2.5 aana,2,6,2,Un-Furnished,South,16 Feet 
Rs. 1.7Cr ,"Sankhu, Kathmandu",2.5 aana,2.5,7,4,Un-Furnished,South,16 Feet 
Rs. 2.2Cr ,"Tikathali, Lalitpur",2.3 aana,2.5,5,4,Semi-Furnished,East,13 Feet 
Rs. 2.1Cr ,"Baluwakhani, Kathmandu",3.5 aana,2,4,1,Un-Furnished,West,16 Feet 
Rs. 2.8Cr ,"Satdobato, Lalitpur",3.1 aana,2.5,6,4,Semi-Furnished,North,14 Feet 
Rs. 2.8Cr,"Sitapaila, Kathmandu",3.1 aana,2.5,3,3,Semi-Furnished,West,13 Feet 
Rs. 7Cr ,"Dhobighat, Lalitpur",7.3 aana,3,8,5,Semi-Furnished,South,13 Feet 
Rs. 2.35Cr ,"Sanagaun, Lalitpur",7.3 aana,2.5,4,3,Semi-Furnished,North,10 Feet 
Rs. 2.3Cr ,"Shantinagar, Kathmandu",7.3 aana,3,5,4,Un-Furnished,South,16 Feet 
Rs. 3.2Cr ,"Buddhanagar, Kathmandu",7.3 aana,2.5,7,4,Full-Furnished,South,16 Feet 
Rs. 3.65Cr ,"Naya Basti, Kathmandu",7.3 aana,2.5,6,4,Un-Furnished,South,13 Feet 
Rs. 3.25Cr ,"Lubhu, Lalitpur",4.3 aana,2.5,6,4,Full-Furnished,South,13 Feet 
Rs. 1.75Cr ,"Budhanilkantha, Kathmandu",4.3 aana,2.5,5,2,Un-Furnished,West,13 Feet 
Rs. 3.4Cr ,"Mandikhatar, Kathmandu",4.3 aana,2,4,4,Full-Furnished,East,13 Feet 
Rs. 7Cr ,"Jyotinagar, Kathmandu",4.3 aana,2.5,6,5,Semi-Furnished,East,14 Feet 
Rs. 4.15Cr ,"Imadol, Lalitpur",4.3 aana,3,7,5,Semi-Furnished,South,13 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",4.3 aana,3.5,4,4,Semi-Furnished,North-West,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",4.3 aana,3.5,5,4,Semi-Furnished,South-East,13 Feet 
Rs. 3.5Cr ,"Kalanki, Kathmandu",4.3 aana,2.5,6,6,Semi-Furnished,South-West,20 Feet 
Rs. 2.75Cr ,"Gatthaghar, Bhaktapur",4.3 aana,2.5,6,4,Semi-Furnished,East,20 Feet 
Rs. 1.7Cr ,"Imadol, Lalitpur",4.3 aana,1,2,1,Un-Furnished,South,13 Feet 
Rs. 2.95Cr ,"Imadol, Lalitpur",4.3 aana,2.5,5,4,Semi-Furnished,North,13 Feet 
Rs. 3.2Cr ,"Samakhusi, Kathmandu",5.2 aana,3,7,4,Un-Furnished,South,16 Feet 
Rs. 4.74Cr ,"Goldhunga, Kathmandu",5.2 aana,3.5,13,5,Semi-Furnished,East,21 Feet 
Rs. 2.5Cr ,"Goldhunga, Kathmandu",5.2 aana,3.5,9,3,Un-Furnished,South-West,13 Feet 
Rs. 3.25Cr ,"Samakhusi, Kathmandu",5.2 aana,3,7,4,Un-Furnished,South,16 Feet 
Rs. 4.4Cr ,"Shital Height, Lalitpur",5.2 aana,3,6,5,Full-Furnished,South,14 Feet 
Rs. 2.8Cr ,"Ramkot, Kathmandu",4.1 aana,2.5,4,4,Semi-Furnished,North,16 Feet 
Rs. 5.45Cr ,"Imadol, Lalitpur",5.1 aana,3.5,6,7,Full-Furnished,South,13 Feet 
Rs. 2.85Cr ,"Swoyambhu, Kathmandu",3.2 aana,2.5,4,3,Full-Furnished,South-West,13 Feet 
Rs. 6.5Cr ,"Budhanilkantha, Kathmandu",3.2 aana,2.5,5,5,Semi-Furnished,East,20 Feet 
Rs. 3.99Cr ,"Tikathali, Lalitpur",4.1 aana,3.5,9,5,Semi-Furnished,South-West,20 Feet 
Rs. 2.1Cr ,"Bhangal , Kathmandu",4.1 aana,2.5,7,3,Un-Furnished,South-East,16 Feet 
Rs. 2.75Cr ,"Bhaisepati, Lalitpur",3.2 aana,2.5,5,5,Semi-Furnished,South-East,16 Feet 
Rs. 4.4Cr ,"Ramkot, Kathmandu",3.2 aana,3,8,8,Full-Furnished,West,13 Feet 
Rs. 3.75Cr ,"Buddha Chowk, Kathmandu",3.2 aana,3.5,6,6,Full-Furnished,North-East,20 Feet 
Rs. 4.25Cr ,"Imadol, Lalitpur",3.3 aana,3,6,5,Semi-Furnished,South-East,16 Feet 
Rs. 3.24Cr ,"Buddha Chowk, Kathmandu",3.1 aana,3.5,6,3,Un-Furnished,North,12 Feet 
Rs. 4.3Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,4,4,Semi-Furnished,West,11 Feet 
Rs. 3.5Cr ,"Chhauni, Kathmandu",3.2 aana,2.5,5,2,Full-Furnished,South-East,22 Feet 
Rs. 6Cr ,"Budhanilkantha, Kathmandu",8.1 aana,2.5,5,3,Semi-Furnished,South-East,16 Feet 
Rs. 3.55Cr ,"Swoyambhu, Kathmandu",8.1 aana,3.5,5,3,Full-Furnished,South,13 Feet 
Rs. 3.45Cr ,"Imadol, Lalitpur",8.1 aana,3.5,6,4,Semi-Furnished,South-East,16 Feet 
Price on call,"Sitapaila, Kathmandu",14.2 aana,2.5,4,3,Semi-Furnished,South-East,26 Feet 
